YEAR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,Location,timestamp,lightning
2001,13.58,10.83,12.21,8.06,83.31,0.14,100.21,2.29,51.8,4.92,50.67,Prayagraj,2001-01-01 00:00:00,0
2001,13.55,10.94,12.25,8.18,84.12,0.08,100.13,2.58,64.68,4.84,63.52,Prayagraj,2001-01-01 01:00:00,0
2001,13.41,11.09,12.25,8.24,85.62,0.19,100.12,1.77,77.5,3.28,76.63,Prayagraj,2001-01-01 02:00:00,0
2001,13.23,11.21,12.23,8.3,87.38,0.12,100.16,0.9,115.23,1.75,113.13,Prayagraj,2001-01-01 03:00:00,0
2001,13.01,11.26,12.13,8.3,89,0.02,100.19,1.01,138.77,2.06,138.08,Prayagraj,2001-01-01 04:00:00,0
2001,12.52,11.94,12.23,8.73,96.06,0.07,100.17,1.78,148.13,3.34,150.85,Prayagraj,2001-01-01 05:00:00,0
2001,13.26,12.55,12.9,9.03,95.31,0.4,100.28,3.35,165.54,5.29,165.64,Prayagraj,2001-01-01 06:00:00,0
2001,14.2,12.87,13.54,9.28,91.5,1.1,100.3,3.34,161.44,4.09,160.84,Prayagraj,2001-01-01 07:00:00,0
2001,15.9,12.64,14.26,9.09,80.88,0.04,100.35,2.92,167.34,3.48,166.24,Prayagraj,2001-01-01 08:00:00,0
2001,17.76,11.52,14.65,8.48,66.75,0.06,100.36,3.16,158.57,3.77,158.22,Prayagraj,2001-01-01 09:00:00,0
2001,19.33,10.48,14.91,7.87,56.44,0.07,100.34,3.12,160.97,3.71,160.42,Prayagraj,2001-01-01 10:00:00,0
2001,20.27,9.76,15.01,7.51,50.75,0.1,100.27,2.89,169.39,3.41,168.64,Prayagraj,2001-01-01 11:00:00,0
2001,20.7,9.57,15.14,7.45,48.75,0.09,100.17,2.86,168.01,3.35,168.01,Prayagraj,2001-01-01 12:00:00,0
2001,21.22,9.52,15.37,7.39,47.12,0.08,100.09,2.94,168.81,3.4,169.41,Prayagraj,2001-01-01 13:00:00,0
2001,21.05,9.55,15.3,7.45,47.69,0.07,100.03,2.85,173.23,3.33,174.48,Prayagraj,2001-01-01 14:00:00,0
2001,20.44,9.73,15.08,7.51,50.12,0.08,100.01,2.24,173.4,2.87,174.38,Prayagraj,2001-01-01 15:00:00,0
2001,18.62,9.98,14.3,7.63,57.06,0.03,100.01,1.37,148.03,2.29,148.97,Prayagraj,2001-01-01 16:00:00,0
2001,17.13,9.82,13.48,7.57,62,0.01,100.04,1.76,109.48,2.73,109.73,Prayagraj,2001-01-01 17:00:00,0
2001,15.68,9.83,12.75,7.57,68.06,0,100.1,2.33,90.19,3.85,90.12,Prayagraj,2001-01-01 18:00:00,0
2001,14.74,9.81,12.28,7.57,72.19,0,100.15,2.72,83.06,4.82,83.11,Prayagraj,2001-01-01 19:00:00,0
2001,14.21,9.8,12.01,7.57,74.62,0,100.19,2.83,82.38,5.23,82.54,Prayagraj,2001-01-01 20:00:00,0
2001,14.33,9.85,12.09,7.57,74.25,0,100.22,2.66,84.61,5.09,84.72,Prayagraj,2001-01-01 21:00:00,0
2001,14.15,9.85,12.01,7.57,75.12,0,100.23,2.53,86.46,4.85,86.49,Prayagraj,2001-01-01 22:00:00,0
2001,13.48,9.76,11.62,7.51,78.06,0,100.22,2.52,88.04,4.67,87.99,Prayagraj,2001-01-01 23:00:00,0
2001,12.8,9.67,11.23,7.45,81.12,0,100.22,2.47,90.54,4.43,90.3,Prayagraj,2001-01-02 00:00:00,0
2001,12.17,9.55,10.87,7.45,83.88,0,100.21,2.36,92.28,4.06,91.98,Prayagraj,2001-01-02 01:00:00,0
2001,11.63,9.44,10.54,7.39,86.19,0,100.21,2.2,91.62,3.67,91.22,Prayagraj,2001-01-02 02:00:00,0
2001,11.23,9.33,10.28,7.32,87.94,0,100.22,2.02,88.89,3.26,88.49,Prayagraj,2001-01-02 03:00:00,0
2001,10.85,9.25,10.05,7.26,89.75,0,100.26,1.87,88.8,2.95,88.33,Prayagraj,2001-01-02 04:00:00,0
2001,10.6,9.17,9.88,7.2,90.81,0,100.34,1.67,90.27,2.57,89.65,Prayagraj,2001-01-02 05:00:00,0
2001,10.78,9.12,9.95,7.2,89.38,0,100.43,1.33,95.74,1.98,95.21,Prayagraj,2001-01-02 06:00:00,0
2001,12.76,9.26,11.01,7.26,79.25,0,100.5,0.91,109.52,1.05,108.57,Prayagraj,2001-01-02 07:00:00,0
2001,15.75,9.33,12.55,7.26,65.56,0,100.58,0.5,95.36,0.66,88.64,Prayagraj,2001-01-02 08:00:00,0
2001,20.07,9.01,14.55,7.14,48.88,0,100.63,0.49,2.73,0.51,352.12,Prayagraj,2001-01-02 09:00:00,0
2001,22.18,8.33,15.25,6.77,40.94,0,100.59,1.3,307.42,1.4,303.87,Prayagraj,2001-01-02 10:00:00,0
2001,23.3,7.76,15.53,6.53,36.88,0,100.49,2.02,303.14,2.18,300.79,Prayagraj,2001-01-02 11:00:00,0
2001,23.96,7.31,15.63,6.35,34.31,0,100.38,2.64,305.1,2.89,303.3,Prayagraj,2001-01-02 12:00:00,0
2001,24.13,6.94,15.54,6.23,33.12,0,100.3,3.15,308.15,3.5,306.64,Prayagraj,2001-01-02 13:00:00,0
2001,23.71,6.69,15.2,6.1,33.38,0,100.28,3.57,310.74,4.04,309.42,Prayagraj,2001-01-02 14:00:00,0
2001,22.62,6.58,14.6,6.04,35.38,0,100.29,3.71,314.06,4.49,313.45,Prayagraj,2001-01-02 15:00:00,0
2001,18.95,6.97,12.96,6.23,45.56,0,100.31,2.58,322.64,4.92,322.62,Prayagraj,2001-01-02 16:00:00,0
2001,16.54,6.76,11.65,6.1,52.25,0,100.36,2.87,332.81,5.31,332.87,Prayagraj,2001-01-02 17:00:00,0
2001,15.63,6.88,11.26,6.16,55.81,0,100.44,2.9,342.74,5.39,342.62,Prayagraj,2001-01-02 18:00:00,0
2001,14.77,6.99,10.88,6.23,59.5,0,100.49,2.86,350.9,5.27,350.87,Prayagraj,2001-01-02 19:00:00,0
2001,13.98,7.09,10.53,6.23,63.06,0,100.51,2.75,355.28,4.9,355.34,Prayagraj,2001-01-02 20:00:00,0
2001,13.33,7.19,10.26,6.29,66.19,0,100.53,2.55,353.66,4.29,353.63,Prayagraj,2001-01-02 21:00:00,0
2001,12.9,7.27,10.08,6.35,68.5,0,100.53,2.32,345.54,3.73,345.59,Prayagraj,2001-01-02 22:00:00,0
2001,12.48,7.33,9.9,6.35,70.69,0,100.51,2.19,335.81,3.47,335.68,Prayagraj,2001-01-02 23:00:00,0
2001,11.94,7.38,9.65,6.41,73.5,0,100.48,2.19,329.32,3.46,329.21,Prayagraj,2001-01-03 00:00:00,0
2001,11.4,7.44,9.41,6.41,76.44,0,100.44,2.19,327.22,3.47,327.13,Prayagraj,2001-01-03 01:00:00,0
2001,11.09,7.48,9.29,6.41,78.25,0,100.41,2.03,326.31,3.14,326.35,Prayagraj,2001-01-03 02:00:00,0
2001,10.99,7.51,9.26,6.47,79,0,100.4,1.68,320.09,2.52,320.29,Prayagraj,2001-01-03 03:00:00,0
2001,10.87,7.55,9.21,6.47,79.75,0,100.44,1.36,299.95,1.96,300.65,Prayagraj,2001-01-03 04:00:00,0
